,Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.PVGR.GEN,"Total Solar Installed, MW","Solar Output, % of Load","Solar Output, % of Installed",Solar 1-hr MW change,Solar 1-hr % change,Daytime Hour,Ramping Daytime Hour
8531,2022-12-22 12:00:00,2022-12-22,56468.066746961806,3114.346877983941,13949,5.515235525840814,22.326667703662924,769.2,32.800009250814355,True,True
8532,2022-12-22 13:00:00,2022-12-22,57239.56052951389,3056.0268519422743,13949,5.33901173187122,21.908573029910922,-58.3,-1.8719815834304316,True,True
8533,2022-12-22 14:00:00,2022-12-22,58348.133763020836,2711.149584418403,13949,4.646506082661793,19.436157318936147,-344.9,-11.285895599405382,True,True
8534,2022-12-22 15:00:00,2022-12-22,59349.357515190975,2700.392833251953,13949,4.549995056914921,19.359042463631464,-10.8,-0.3983550026922186,True,True
8535,2022-12-22 16:00:00,2022-12-22,60722.2218467882,2616.065659315321,13949,4.3082508836980145,18.75450325697413,-84.3,-3.1217680243389467,True,True
8536,2022-12-22 17:00:00,2022-12-22,62704.84448025173,1747.0395016818577,13949,2.786131623740922,12.52447846929427,-869.0,-33.21782069596202,True,True
8537,2022-12-22 18:00:00,2022-12-22,66885.50496744792,254.03694113459852,13949,0.3798086614704249,1.8211838922833072,-1493.0,-85.4588576024013,True,True
8538,2022-12-22 19:00:00,2022-12-22,70477.45980902777,0.3268788953291045,13949,0.00046380629525361115,0.002343385872314177,-253.7,-99.86736530006476,False,True
8539,2022-12-22 20:00:00,2022-12-22,72106.51598090278,0.29692427360349233,13949,0.0004117856334677603,0.0021286420073373885,0.0,0.0,False,False
8540,2022-12-22 21:00:00,2022-12-22,73279.13885416667,0.3012102229727639,13949,0.0004110449818088126,0.0021593678613001928,0.0,0.0,False,False
8541,2022-12-22 22:00:00,2022-12-22,73655.81155381944,0.3082169245349036,13949,0.00041845567652145564,0.002209598713419626,0.0,0.0,False,False
8542,2022-12-22 23:00:00,2022-12-22,72771.63009982639,0.2676457067330678,13949,0.0003677885274328991,0.0019187447611518232,0.0,0.0,False,False
8543,2022-12-23 00:00:00,2022-12-22,71688.38874565973,0.19346316390567356,13949,0.00026986680450031246,0.0013869321378283286,-0.1,-37.36282611091289,False,False
8544,2022-12-23 01:00:00,2022-12-23,70968.20003038195,0.2313689752916495,14095,0.00032601781529276343,0.0016414968094476726,0.0,0.0,False,False
8545,2022-12-23 02:00:00,2022-12-23,70517.33387586806,0.23622843384742737,14095,0.00033499342766313484,0.001675973280222968,0.0,0.0,False,False
8546,2022-12-23 03:00:00,2022-12-23,70172.94820746528,0.20183659659491646,14095,0.00028762735747996446,0.0014319730159270412,0.0,0.0,False,False
8547,2022-12-23 04:00:00,2022-12-23,70342.20185329861,0.2192005021042294,14095,0.0003116201886335326,0.0015551649670395844,0.0,0.0,False,False
8548,2022-12-23 05:00:00,2022-12-23,70877.34447916667,0.20497112178140217,14095,0.0002891913111130318,0.0014542115770230732,0.0,0.0,False,False
8549,2022-12-23 06:00:00,2022-12-23,71802.4091796875,0.2160693051086532,14095,0.0003009220826670785,0.0015329500185076496,0.0,0.0,False,False
8550,2022-12-23 07:00:00,2022-12-23,73028.52440104166,0.20453503391808933,14095,0.0002800755397916432,0.0014511176581631028,0.0,0.0,False,False
8551,2022-12-23 08:00:00,2022-12-23,73975.34906684028,160.1391632366346,14095,0.21647638741378725,1.1361416334631755,159.9,78177.31609932192,True,True
8552,2022-12-23 09:00:00,2022-12-23,73904.82384982638,2353.429977552626,14095,3.1844064500238365,16.696913639961874,2193.3,1369.6212442168205,True,True
8553,2022-12-23 10:00:00,2022-12-23,73668.74712673611,6280.761268717448,14095,8.525679495963645,44.56020765319225,3927.3,166.87558318960777,True,True
8554,2022-12-23 11:00:00,2022-12-23,72184.19671006945,7430.346127387153,14095,10.293591209764957,52.71618394740797,1149.6,18.303513711400022,True,True
8555,2022-12-23 12:00:00,2022-12-23,69979.0594140625,7447.911667209201,14095,10.643057694074294,52.84080643639022,17.6,0.23686648910107988,True,True
8556,2022-12-23 13:00:00,2022-12-23,67428.82046875,7569.449119466146,14095,11.225836469991672,53.70307995364417,121.5,1.6313297663682835,True,True
8557,2022-12-23 14:00:00,2022-12-23,65491.59095052083,7581.797150607639,14095,11.576749076588655,53.79068570846144,12.3,0.16249531248408058,True,True
8558,2022-12-23 15:00:00,2022-12-23,63824.56870225695,7312.024615885417,14095,11.456441875849059,51.876726611460924,-269.8,-3.5585230604379468,True,True
8559,2022-12-23 16:00:00,2022-12-23,63399.53916449653,7143.782805447048,14095,11.267878125914732,50.68309900991166,-168.2,-2.3003204835304367,True,True
8560,2022-12-23 17:00:00,2022-12-23,64292.759466145835,3868.6345823838974,14095,6.0172165800738036,27.446857625994305,-3275.1,-45.845458760347185,True,True
8561,2022-12-23 18:00:00,2022-12-23,66584.48314887153,457.24409138053653,14095,0.6867126840321293,3.244016256690575,-3411.4,-88.18098291149163,True,True
8562,2022-12-23 19:00:00,2022-12-23,67947.83346788194,0.32106256594260535,14095,0.00047251332317220604,0.0022778472220120988,-456.9,-99.92474667534846,False,True
8563,2022-12-23 20:00:00,2022-12-23,67978.67899739584,0.3254408519135581,14095,0.00047873959411012573,0.002308909910702789,0.0,0.0,False,False
8564,2022-12-23 21:00:00,2022-12-23,67847.46190538195,0.33282407694392735,14095,0.0004905475718576974,0.0023612917839228617,0.0,0.0,False,False
8565,2022-12-23 22:00:00,2022-12-23,67327.98010416667,0.33592489494217764,14095,0.0004989380260962093,0.002383291202143864,0.0,0.0,False,False
8566,2022-12-23 23:00:00,2022-12-23,66295.58112847223,0.26532783097691004,14095,0.0004002194813900781,0.0018824251931671516,-0.1,-29.768558837299892,False,False
8567,2022-12-24 00:00:00,2022-12-23,64787.60105251736,0.25387104858954745,14095,0.00039185128707537343,0.0018011425937534407,0.0,0.0,False,False
8568,2022-12-24 01:00:00,2022-12-24,63443.02003472222,0.2524728578660223,14095,0.0003979521430849989,0.0017912228298405273,0.0,0.0,False,False
8569,2022-12-24 02:00:00,2022-12-24,62827.70239800347,0.2525656596985128,14095,0.00040199728791377666,0.0017918812323413468,0.0,0.0,False,False
8570,2022-12-24 03:00:00,2022-12-24,62596.89752387153,0.2630318576428625,14095,0.0004201995115533553,0.00186613591800541,0.0,0.0,False,False
8571,2022-12-24 04:00:00,2022-12-24,62671.45629123264,0.2585884449879328,14095,0.00041260959979337163,0.0018346111740896263,0.0,0.0,False,False
8572,2022-12-24 05:00:00,2022-12-24,62964.649737413194,0.25685911271307205,14095,0.00040794177968792543,0.0018223420554315149,0.0,0.0,False,False
8573,2022-12-24 06:00:00,2022-12-24,63543.03342013889,0.27227317412694296,14095,0.0004284862705982346,0.001931700419488776,0.0,0.0,False,False
8574,2022-12-24 07:00:00,2022-12-24,64613.013266059024,0.28010724306106566,14095,0.000433515214508971,0.0019872809014619772,0.0,0.0,False,False
8575,2022-12-24 08:00:00,2022-12-24,65586.23672526042,125.79911478976409,14095,0.19180718557878898,0.8925087959543391,125.5,44804.26804694942,True,True
8576,2022-12-24 09:00:00,2022-12-24,65229.88514105903,3175.8333927408853,14095,4.8686784989321605,22.53163102334789,3050.0,2424.5003671903182,True,True
8577,2022-12-24 10:00:00,2022-12-24,63923.81572265625,7477.249876302083,14095,11.697126949904451,53.04895265201903,4301.4,135.4416138400667,True,True
8578,2022-12-24 11:00:00,2022-12-24,61423.36400173611,8520.857145182292,14095,13.872338781284355,60.45304820987791,1043.6,13.957003139717436,True,True
8579,2022-12-24 12:00:00,2022-12-24,58493.04031684028,8395.474245876736,14095,14.352945581903118,59.5634923439286,-125.4,-1.4716829288811795,True,True
8580,2022-12-24 13:00:00,2022-12-24,55437.67163411458,8235.957204861112,14095,14.85624659566865,58.43176448996886,-159.5,-1.8998331163761848,True,True
8581,2022-12-24 14:00:00,2022-12-24,52703.653715277775,8439.543874782987,14095,16.013204550060493,59.87615377639579,203.6,2.472086667471136,True,True
8582,2022-12-24 15:00:00,2022-12-24,50643.675112847224,8762.579652777778,14095,17.302416606323458,62.16800037444327,323.0,3.827221053558485,True,True
8583,2022-12-24 16:00:00,2022-12-24,49750.233763020835,8572.982126736111,14095,17.232043908723053,60.82286006907493,-189.6,-2.163746379639424,True,True
8584,2022-12-24 17:00:00,2022-12-24,50110.57870768229,5631.5368234592015,14095,11.238219491158759,39.95414560808231,-2941.4,-34.31011468957587,True,True
8585,2022-12-24 18:00:00,2022-12-24,53087.319429253475,703.8519662988848,14095,1.325838211207611,4.993628707335118,-4927.7,-87.50186946257298,True,True
8586,2022-12-24 19:00:00,2022-12-24,56007.78080729167,0.3563369951314396,14095,0.0006362276633625305,0.0025281092240612957,-703.5,-99.94999427212862,False,True
8587,2022-12-24 20:00:00,2022-12-24,57019.32850911458,0.4356238522463375,14095,0.0007639933047908531,0.0030906268339576976,0.1,28.06332246336468,False,False
8588,2022-12-24 21:00:00,2022-12-24,57656.226037326385,0.459748786257373,14095,0.0007973966002556839,0.00326178635159541,0.0,0.0,False,False
8589,2022-12-24 22:00:00,2022-12-24,57983.017413194444,0.458042395942741,14095,0.000789959571573642,0.0032496799995937633,0.0,0.0,False,False
8590,2022-12-24 23:00:00,2022-12-24,57703.21986328125,0.42183817899889414,14095,0.0007310479033897479,0.0029928214189350417,0.0,0.0,False,False
8591,2022-12-25 00:00:00,2022-12-24,57394.36597005208,0.47322102857960596,14095,0.000824507807659255,0.00335736806370774,0.1,23.705772729561815,False,False
8592,2022-12-25 01:00:00,2022-12-25,57206.32665364583,0.4625369964705573,14095,0.0008085416832843945,0.0032815679068503535,0.0,0.0,False,False
8593,2022-12-25 02:00:00,2022-12-25,57210.74044487847,0.4682361016505294,14095,0.0008184409046438869,0.0033220014306529224,0.0,0.0,False,False
8594,2022-12-25 03:00:00,2022-12-25,57447.85839626736,0.48002410072419377,14095,0.0008355822377451463,0.0034056339178729603,0.0,0.0,False,False
8595,2022-12-25 04:00:00,2022-12-25,57603.20246744792,0.47755819280114437,14095,0.0008290479909880301,0.0033881390053291547,0.0,0.0,False,False
8596,2022-12-25 05:00:00,2022-12-25,57884.462391493056,0.4598390565978156,14095,0.0007944084433016959,0.0032624267938830475,0.0,0.0,False,False
8597,2022-12-25 06:00:00,2022-12-25,58783.269359809026,0.43585931453439924,14095,0.0007414683111048644,0.0030922973716523534,0.0,0.0,False,False
8598,2022-12-25 07:00:00,2022-12-25,59869.97263454861,0.45209760546684263,14095,0.0007551324738804955,0.003207503408775045,0.0,0.0,False,False
8599,2022-12-25 08:00:00,2022-12-25,60880.85920138889,171.8817844893535,14095,0.2823248336899823,1.2194521780017984,171.4,37912.16717969781,True,True
8600,2022-12-25 09:00:00,2022-12-25,59719.315496961804,3454.560997789171,14095,5.784662749466578,24.509123787081737,3282.7,1909.8591568342329,True,True
8601,2022-12-25 10:00:00,2022-12-25,56383.96187934028,8167.651914605035,14095,14.485771560507803,57.947157961014796,4713.1,136.43122825204884,True,True
8602,2022-12-25 11:00:00,2022-12-25,52390.1339561632,8635.780963541667,14095,16.48360160859209,61.268399883232824,468.1,5.7311453143952455,True,True
8603,2022-12-25 12:00:00,2022-12-25,48783.14579861111,8290.407610677083,14095,16.994409595686868,58.81807457025244,-345.4,-3.9996382661649412,True,True
8604,2022-12-25 13:00:00,2022-12-25,45671.019800347225,7041.345005967882,14095,15.417534000224686,49.9563320749761,-1249.1,-15.066810447188436,True,True
8605,2022-12-25 14:00:00,2022-12-25,43005.92287109375,4617.167514648438,14095,10.73612006534069,32.7574850276583,-2424.2,-34.42808153762346,True,True
8606,2022-12-25 15:00:00,2022-12-25,41227.972747395834,3090.530753309462,14095,7.496198690741289,21.92643315579611,-1526.6,-33.06356105029122,True,True
8607,2022-12-25 16:00:00,2022-12-25,40419.917029079865,2053.765112982856,14095,5.081072065302082,14.57087699881416,-1036.8,-33.547635754465595,True,True
8608,2022-12-25 17:00:00,2022-12-25,40857.38578016493,1831.1561470879449,14095,4.481824062216232,12.9915299545083,-222.6,-10.838629918915084,True,True
8609,2022-12-25 18:00:00,2022-12-25,43689.64833875868,460.94796416401863,14095,1.0550507538763936,3.2702941764031124,-1370.2,-74.82704313223122,True,True
8610,2022-12-25 19:00:00,2022-12-25,46918.549696180555,0.2627765750057168,14095,0.0005600696882305983,0.0018643247605939467,-460.7,-99.94620560599104,False,True
8611,2022-12-25 20:00:00,2022-12-25,48453.48889756944,0.30407976003156767,14095,0.0006275704122656504,0.002157359063721658,0.0,0.0,False,False
8612,2022-12-25 21:00:00,2022-12-25,49600.29084201389,0.3329797813627455,14095,0.0006713262678707826,0.002362396462311071,0.0,0.0,False,False
8613,2022-12-25 22:00:00,2022-12-25,50128.47908420139,0.31422668443785773,14095,0.0006268426454950838,0.0022293485948056595,0.0,0.0,False,False
8614,2022-12-25 23:00:00,2022-12-25,49985.5513671875,0.33727995263205635,14095,0.0006747548909772761,0.0023929049495002223,0.0,0.0,False,False
8615,2022-12-26 00:00:00,2022-12-25,49654.08246202257,0.3592315235071712,14095,0.0007234682541600198,0.002548645076319058,0.0,0.0,False,False
8616,2022-12-26 01:00:00,2022-12-26,49027.00265842014,0.34255489415592616,14095,0.0006987065812335442,0.002430329153287876,0.0,0.0,False,False
8617,2022-12-26 02:00:00,2022-12-26,48912.30580729167,0.3168490567472246,14095,0.0006477900632932129,0.0022479535774900645,0.0,0.0,False,False
8618,2022-12-26 03:00:00,2022-12-26,48991.6102452257,0.297240224050151,14095,0.0006067165838443073,0.002108834509046832,0.0,0.0,False,False
8619,2022-12-26 04:00:00,2022-12-26,49510.91215928819,0.3212813886834516,14095,0.0006489102597217643,0.0022793997068708874,0.0,0.0,False,False
8620,2022-12-26 05:00:00,2022-12-26,50488.84181640625,0.32534684722622237,14095,0.000644393564045871,0.0023082429742903327,0.0,0.0,False,False
8621,2022-12-26 06:00:00,2022-12-26,51956.9370421007,0.3324736137025886,14095,0.0006399022587362786,0.002358805347304637,0.0,0.0,False,False
8622,2022-12-26 07:00:00,2022-12-26,53548.274752604164,0.34859803419974117,14095,0.0006509976947161834,0.0024732035062060387,0.0,0.0,False,False
8623,2022-12-26 08:00:00,2022-12-26,54530.26856119792,134.29487023744318,14095,0.2462758276840825,0.9527837547885292,133.9,38411.00260573398,True,True
8624,2022-12-26 09:00:00,2022-12-26,53907.617623697915,3160.639933607313,14095,5.863067360294343,22.423837769473664,3026.3,2253.474011813914,True,True
8625,2022-12-26 10:00:00,2022-12-26,52220.29817925347,7246.991664496528,14095,13.877729383352458,51.41533639231307,4086.4,129.29027304088052,True,True
8626,2022-12-26 11:00:00,2022-12-26,50252.98183159722,6706.340277235243,14095,13.345158899642733,47.579569189324175,-540.7,-7.461026934099064,True,True
8627,2022-12-26 12:00:00,2022-12-26,47988.163515625,3537.6943975151908,14095,7.3720145518036215,25.098931518376666,-3168.6,-47.24782622134241,True,True
8628,2022-12-26 13:00:00,2022-12-26,45633.836950954865,1898.1424069552952,14095,4.159506484180436,13.466778339519653,-1639.6,-46.34656970798902,True,True
8629,2022-12-26 14:00:00,2022-12-26,43256.010416666664,1284.1535076226128,14095,2.968728496347469,9.110702430809598,-614.0,-32.347414912081504,True,True
8630,2022-12-26 15:00:00,2022-12-26,41401.07404079861,1255.2951844618055,14095,3.0320353119940253,8.90596086883154,-28.9,-2.250509758253383,True,True
8631,2022-12-26 16:00:00,2022-12-26,40653.0062109375,2584.7292180718314,14095,6.3580272628803085,18.33791570111267,1329.4,105.90337766411221,True,True
8632,2022-12-26 17:00:00,2022-12-26,40916.53748480903,3611.3607779947915,14095,8.826164186878158,25.621573451541625,1026.6,39.717893573618824,True,True
